ldr_dc,ldr_db,ldr_ec,ldr_eb,az,el
567,357,101,505,0,50
571,376,109,499,0,50
569,365,93,495,0,50
586,365,95,494,0,50
581,365,99,507,0,50
585,363,101,496,0,50
582,363,111,493,0,50
583,361,107,503,0,50
575,362,109,493,0,50
575,368,109,493,0,50
580,364,104,501,0,50
583,373,110,505,0,50
580,373,111,491,0,50
581,379,111,490,0,50
585,392,114,485,0,50
585,399,115,489,0,50
585,410,125,478,0,50
587,415,131,469,0,50
587,421,133,461,0,50
587,426,137,463,0,50
587,421,141,467,0,50
589,419,139,471,0,50
589,419,139,467,0,50
589,403,150,467,0,50
588,415,135,465,0,50
591,415,133,471,0,50
589,411,123,454,0,50
591,425,109,447,0,50
587,419,120,439,0,50
590,415,111,431,0,50
589,419,115,425,0,50
589,415,109,423,0,50
595,407,105,428,0,50
595,405,107,440,0,50
596,397,108,467,0,50
597,389,107,479,0,50
597,391,109,491,0,50
597,392,109,470,0,50
597,407,113,459,0,50
598,416,111,445,0,50
596,425,119,439,0,50
599,435,118,429,0,50
597,440,121,421,0,50
599,439,120,414,0,50
599,422,124,415,0,50
600,437,132,425,0,50
599,420,137,431,0,50
603,415,132,439,0,50
603,409,135,453,0,50
601,398,147,460,0,50
603,395,153,459,0,50
605,383,149,467,0,50
605,375,151,471,0,50
607,365,155,461,0,50
607,366,157,469,0,50
607,362,160,457,0,50
607,356,159,457,0,50
607,345,159,457,0,50
607,359,156,457,0,50
611,351,163,459,0,50
607,354,156,453,0,50
611,347,159,457,0,50
611,343,159,453,0,50
613,339,159,455,0,50
612,335,163,459,0,50
613,334,163,461,0,50
613,317,169,471,0,50
613,311,175,479,0,50
613,303,164,475,0,50
617,293,191,483,0,50
615,277,199,475,0,50
617,267,213,475,0,50
617,253,221,467,0,51
619,240,235,455,0,52
618,233,239,461,0,53
619,217,248,467,0,54
619,205,255,467,0,55
619,185,263,467,0,56
618,171,268,465,0,57
621,172,267,460,0,58
623,157,267,471,0,59
623,159,269,471,0,60
623,143,269,471,0,61
623,124,273,471,0,62
623,123,267,475,0,63
623,123,277,477,0,64
623,110,279,481,0,65
627,107,282,471,0,66
627,104,279,483,0,67
627,100,295,492,0,68
629,94,255,492,0,69
630,92,271,508,0,70
627,89,267,518,0,71
629,84,269,529,0,72
631,77,263,539,0,73
632,73,251,559,1,74
631,79,237,585,2,75
633,78,214,617,3,76
633,84,199,655,4,76
635,76,200,685,5,76
637,83,185,715,6,76
645,91,179,733,7,76
645,88,170,743,8,76
646,88,170,755,9,76
648,91,153,759,10,76
650,91,159,763,11,76
649,89,159,759,12,76
649,91,158,761,13,76
649,91,163,761,14,76
651,93,165,751,15,76
651,91,165,748,16,76
651,88,155,746,17,76
653,88,165,731,18,76
659,89,174,731,19,76
659,88,175,723,20,76
659,63,176,723,21,76
659,87,183,716,22,76
661,83,181,715,23,76
661,73,189,702,24,76
661,75,203,687,25,77
661,75,190,685,26,77
665,73,191,682,27,78
664,79,191,693,28,78
665,61,187,695,29,78
663,59,189,686,30,79
661,67,185,682,31,79
663,59,184,691,32,79
665,55,167,701,33,79
665,55,175,701,34,79
667,43,165,715,35,79
668,55,173,714,36,79
670,56,169,719,37,79
669,55,168,719,38,79
671,53,163,716,39,79
676,55,169,709,40,79
675,52,167,693,41,79
672,55,164,698,42,79
675,60,167,693,43,79
679,55,157,681,44,79
679,59,157,695,45,79
679,54,159,691,46,79
679,47,167,686,47,80
678,53,167,686,48,81
681,57,160,679,48,82
681,55,167,679,49,83
681,53,170,675,50,84
687,47,167,678,51,85
686,53,169,677,52,86
683,47,165,681,53,87
685,46,167,679,54,88
685,43,173,664,55,89
687,43,179,652,55,90
685,42,185,639,55,91
693,45,199,622,55,92
691,41,201,603,55,93
691,38,207,595,55,94
687,38,216,566,55,95
691,35,223,553,55,96
691,42,227,535,55,97
692,31,238,517,55,98
693,35,238,495,55,99
693,30,239,493,55,100
695,29,238,495,55,101
695,33,246,507,55,102
695,33,239,519,55,103
697,33,219,508,55,104
699,36,232,523,55,105
699,39,229,535,55,106
700,43,223,551,55,107
709,50,228,579,55,108
703,48,207,600,55,109
703,55,210,597,55,110
711,51,207,581,55,111
713,55,203,583,55,112
712,53,186,611,55,113
713,51,185,599,55,114
714,52,190,575,55,115
714,50,187,581,55,116
713,51,174,607,55,117
718,47,172,601,55,118
718,53,181,581,55,119
721,48,179,588,55,120
719,51,174,589,55,121
725,47,175,585,55,122
719,45,175,597,55,123
725,47,169,596,55,124
725,45,171,597,55,125
727,45,169,605,55,126
727,47,171,611,55,127
728,44,167,617,55,128
729,51,169,627,55,129
729,45,169,627,55,130
731,45,170,632,55,131
733,42,171,645,55,132
733,45,173,648,55,133
739,41,175,663,55,134
739,45,181,655,55,135
737,41,183,646,55,136
739,22,185,633,55,137
741,43,181,649,55,138
743,43,183,637,55,139
743,47,181,623,55,140
743,46,183,605,55,141
743,54,182,597,55,142
745,56,175,599,55,143
743,57,169,597,55,144
744,47,169,597,55,145
747,54,179,585,55,146
749,51,167,575,55,147
749,41,165,559,55,148
747,44,163,543,55,149
749,39,163,522,54,150
749,35,155,507,53,150
748,27,153,470,52,150
751,26,159,445,51,150
748,36,159,411,50,150
755,30,169,363,49,150
755,29,175,325,48,150
751,29,181,295,47,150
755,47,175,281,46,150
757,28,175,264,45,150
757,29,183,265,44,150
761,35,175,283,43,150
761,31,171,279,42,150
765,25,169,265,41,150
767,25,171,280,40,150
773,29,167,309,39,150
777,27,159,303,38,150
781,29,169,307,37,150
779,25,168,283,36,150
782,31,173,279,35,150
783,31,173,271,34,150
789,27,173,254,33,150
789,33,179,263,32,150
